date,weekday,is_weekend,is_holiday,is_promo
2021-01-01,Friday,False,True,0
2021-01-02,Saturday,True,False,0
2021-01-03,Sunday,True,False,0
2021-01-04,Monday,False,False,0
2021-01-05,Tuesday,False,False,1
2021-01-06,Wednesday,False,False,0
2021-01-07,Thursday,False,False,0
2021-01-08,Friday,False,False,0
2021-01-09,Saturday,True,False,0
2021-01-10,Sunday,True,False,0
2021-01-11,Monday,False,False,0
2021-01-12,Tuesday,False,False,0
2021-01-13,Wednesday,False,False,0
2021-01-14,Thursday,False,False,1
2021-01-15,Friday,False,False,0
2021-01-16,Saturday,True,False,0
2021-01-17,Sunday,True,False,0
2021-01-18,Monday,False,False,1
2021-01-19,Tuesday,False,False,0
2021-01-20,Wednesday,False,False,0
2021-01-21,Thursday,False,False,0
2021-01-22,Friday,False,False,0
2021-01-23,Saturday,True,False,0
2021-01-24,Sunday,True,False,0
2021-01-25,Monday,False,False,0
2021-01-26,Tuesday,False,False,0
2021-01-27,Wednesday,False,False,0
2021-01-28,Thursday,False,False,1
2021-01-29,Friday,False,False,0
2021-01-30,Saturday,True,False,0
2021-01-31,Sunday,True,False,0
2021-02-01,Monday,False,False,0
2021-02-02,Tuesday,False,False,1
2021-02-03,Wednesday,False,False,0
2021-02-04,Thursday,False,False,0
2021-02-05,Friday,False,False,1
2021-02-06,Saturday,True,False,0
2021-02-07,Sunday,True,False,1
2021-02-08,Monday,False,False,0
2021-02-09,Tuesday,False,False,0
2021-02-10,Wednesday,False,False,0
2021-02-11,Thursday,False,False,0
2021-02-12,Friday,False,False,0
2021-02-13,Saturday,True,False,0
2021-02-14,Sunday,True,False,0
2021-02-15,Monday,False,False,0
2021-02-16,Tuesday,False,False,0
2021-02-17,Wednesday,False,False,0
2021-02-18,Thursday,False,False,0
2021-02-19,Friday,False,False,1
2021-02-20,Saturday,True,False,0
2021-02-21,Sunday,True,False,0
2021-02-22,Monday,False,False,0
2021-02-23,Tuesday,False,False,0
2021-02-24,Wednesday,False,False,0
2021-02-25,Thursday,False,False,0
2021-02-26,Friday,False,False,0
2021-02-27,Saturday,True,False,0
2021-02-28,Sunday,True,False,0
2021-03-01,Monday,False,False,0
2021-03-02,Tuesday,False,False,1
2021-03-03,Wednesday,False,False,0
2021-03-04,Thursday,False,False,0
2021-03-05,Friday,False,False,0
2021-03-06,Saturday,True,False,0
2021-03-07,Sunday,True,False,0
2021-03-08,Monday,False,False,0
2021-03-09,Tuesday,False,False,0
2021-03-10,Wednesday,False,False,1
2021-03-11,Thursday,False,False,0
2021-03-12,Friday,False,False,0
2021-03-13,Saturday,True,False,0
2021-03-14,Sunday,True,False,0
2021-03-15,Monday,False,False,0
2021-03-16,Tuesday,False,False,0
2021-03-17,Wednesday,False,False,1
2021-03-18,Thursday,False,False,1
2021-03-19,Friday,False,False,0
2021-03-20,Saturday,True,False,0
2021-03-21,Sunday,True,False,1
2021-03-22,Monday,False,False,0
2021-03-23,Tuesday,False,False,0
2021-03-24,Wednesday,False,False,0
2021-03-25,Thursday,False,False,0
2021-03-26,Friday,False,False,0
2021-03-27,Saturday,True,False,0
2021-03-28,Sunday,True,False,1
2021-03-29,Monday,False,False,0
2021-03-30,Tuesday,False,False,1
2021-03-31,Wednesday,False,False,0
2021-04-01,Thursday,False,False,0
2021-04-02,Friday,False,False,0
2021-04-03,Saturday,True,False,0
2021-04-04,Sunday,True,False,0
2021-04-05,Monday,False,False,0
2021-04-06,Tuesday,False,False,0
