center_id,truck_id,ETA,actual_arrival,carrier_delay_min
C001,TRK987,2021-01-01 12:00:00,2021-01-01 12:29:00,29
C002,TRK384,2021-01-01 06:00:00,2021-01-01 07:07:00,67
C003,TRK266,2021-01-01 09:00:00,2021-01-01 10:03:00,63
C001,TRK314,2021-01-02 08:00:00,2021-01-02 09:00:00,60
C002,TRK818,2021-01-02 11:00:00,2021-01-02 11:38:00,38
C003,TRK723,2021-01-02 11:00:00,2021-01-02 10:48:00,-12
C001,TRK646,2021-01-03 11:00:00,2021-01-03 11:13:00,13
C002,TRK267,2021-01-03 11:00:00,2021-01-03 11:32:00,32
C003,TRK376,2021-01-03 09:00:00,2021-01-03 10:07:00,67
C001,TRK324,2021-01-04 11:00:00,2021-01-04 12:52:00,112
C002,TRK963,2021-01-04 11:00:00,2021-01-04 11:53:00,53
C003,TRK334,2021-01-04 12:00:00,2021-01-04 11:44:00,-16
C001,TRK924,2021-01-05 12:00:00,2021-01-05 11:38:00,-22
C002,TRK374,2021-01-05 08:00:00,2021-01-05 09:12:00,72
C003,TRK680,2021-01-05 06:00:00,2021-01-05 06:24:00,24
C001,TRK317,2021-01-06 11:00:00,2021-01-06 11:50:00,50
C002,TRK505,2021-01-06 11:00:00,2021-01-06 12:37:00,97
C003,TRK246,2021-01-06 11:00:00,2021-01-06 12:27:00,87
C001,TRK352,2021-01-07 08:00:00,2021-01-07 08:05:00,5
C002,TRK651,2021-01-07 11:00:00,2021-01-07 12:53:00,113
C003,TRK538,2021-01-07 08:00:00,2021-01-07 09:59:00,119
C001,TRK470,2021-01-08 10:00:00,2021-01-08 11:12:00,72
C002,TRK621,2021-01-08 07:00:00,2021-01-08 07:05:00,5
C003,TRK873,2021-01-08 09:00:00,2021-01-08 08:53:00,-7
C001,TRK256,2021-01-09 06:00:00,2021-01-09 05:58:00,-2
C002,TRK911,2021-01-09 11:00:00,2021-01-09 11:10:00,10
C003,TRK710,2021-01-09 11:00:00,2021-01-09 12:18:00,78
C001,TRK490,2021-01-10 06:00:00,2021-01-10 07:08:00,68
C002,TRK641,2021-01-10 10:00:00,2021-01-10 11:29:00,89
C003,TRK981,2021-01-10 08:00:00,2021-01-10 09:51:00,111
C001,TRK798,2021-01-11 06:00:00,2021-01-11 05:59:00,-1
C002,TRK887,2021-01-11 10:00:00,2021-01-11 10:38:00,38
C003,TRK214,2021-01-11 11:00:00,2021-01-11 11:57:00,57
C001,TRK261,2021-01-12 08:00:00,2021-01-12 09:21:00,81
C002,TRK839,2021-01-12 09:00:00,2021-01-12 08:30:00,-30
C003,TRK612,2021-01-12 11:00:00,2021-01-12 11:37:00,37
C001,TRK619,2021-01-13 12:00:00,2021-01-13 12:15:00,15
C002,TRK961,2021-01-13 06:00:00,2021-01-13 06:46:00,46
C003,TRK723,2021-01-13 11:00:00,2021-01-13 12:39:00,99
C001,TRK482,2021-01-14 07:00:00,2021-01-14 07:09:00,9
C002,TRK652,2021-01-14 12:00:00,2021-01-14 12:11:00,11
C003,TRK100,2021-01-14 12:00:00,2021-01-14 13:45:00,105
C001,TRK600,2021-01-15 10:00:00,2021-01-15 10:52:00,52
