sku_id,center_id,on_hand,reorder_point,lead_time_days
SKU001,C001,648,194,3
SKU002,C001,603,180,5
SKU003,C001,519,155,2
SKU004,C001,590,177,2
SKU005,C001,489,146,3
SKU006,C001,314,94,5
SKU007,C001,462,138,5
SKU008,C001,588,176,2
SKU009,C001,618,185,2
SKU010,C001,534,160,2
SKU011,C001,412,123,5
SKU012,C001,546,163,5
SKU013,C001,587,176,3
SKU014,C001,573,171,2
SKU015,C001,523,156,3
SKU016,C001,402,120,3
SKU017,C001,601,180,3
SKU018,C001,389,116,5
SKU019,C001,470,141,5
SKU020,C001,585,175,2
SKU001,C002,632,189,3
SKU002,C002,439,131,5
SKU003,C002,445,133,5
SKU004,C002,461,138,5
SKU005,C002,500,150,5
SKU006,C002,427,128,2
SKU007,C002,442,132,3
SKU008,C002,393,117,3
SKU009,C002,369,110,2
SKU010,C002,474,142,5
SKU011,C002,467,140,5
SKU012,C002,482,144,2
SKU013,C002,438,131,3
SKU014,C002,358,107,3
SKU015,C002,428,128,5
SKU016,C002,427,128,5
SKU017,C002,352,105,3
SKU018,C002,546,163,3
SKU019,C002,419,125,5
SKU020,C002,481,144,2
SKU001,C003,422,126,3
SKU002,C003,439,131,3
SKU003,C003,457,137,2
SKU004,C003,440,132,2
SKU005,C003,473,141,5
SKU006,C003,519,155,5
SKU007,C003,588,176,3
SKU008,C003,397,119,2
SKU009,C003,302,90,2
SKU010,C003,589,176,2
SKU011,C003,503,150,2
SKU012,C003,525,157,3
SKU013,C003,434,130,2
SKU014,C003,691,207,3
SKU015,C003,518,155,3
SKU016,C003,460,138,2
SKU017,C003,374,112,5
SKU018,C003,627,188,2
SKU019,C003,365,109,2
SKU020,C003,707,212,3
