sku_id,category,storage_type,size
SKU001,Electronics,Bin,Large
SKU002,Home,Bin,Small
SKU003,Apparel,Pallet,Small
SKU004,Electronics,Pallet,Medium
SKU005,Electronics,Bin,Small
SKU006,Apparel,Bin,Large
SKU007,Electronics,Pallet,Small
SKU008,Grocery,Bin,Medium
SKU009,Home,Bin,Small
SKU010,Grocery,Bulk,Medium
SKU011,Apparel,Bin,Medium
SKU012,Electronics,Bin,Medium
SKU013,Electronics,Bulk,Medium
SKU014,Home,Bin,Large
SKU015,Grocery,Pallet,Small
SKU016,Grocery,Bin,Large
SKU017,Home,Pallet,Large
SKU018,Home,Pallet,Small
SKU019,Electronics,Bin,Large
SKU020,Apparel,Bulk,Small
