date,center_id,sku_id,inbound_volume,outbound_volume
2021-01-01,C001,SKU001,114,86
2021-01-01,C001,SKU002,119,128
2021-01-01,C001,SKU003,92,84
2021-01-01,C001,SKU004,147,109
2021-01-01,C001,SKU005,85,103
2021-01-01,C001,SKU006,86,78
2021-01-01,C001,SKU007,107,42
2021-01-01,C001,SKU008,48,75
2021-01-01,C001,SKU009,69,97
2021-01-01,C001,SKU010,72,54
2021-01-01,C001,SKU011,143,84
2021-01-01,C001,SKU012,102,54
2021-01-01,C001,SKU013,83,92
2021-01-01,C001,SKU014,65,99
2021-01-01,C001,SKU015,81,82
2021-01-01,C001,SKU016,81,136
2021-01-01,C001,SKU017,99,63
2021-01-01,C001,SKU018,124,59
2021-01-01,C001,SKU019,106,41
2021-01-01,C001,SKU020,60,94
2021-01-01,C002,SKU001,122,94
2021-01-01,C002,SKU002,96,82
2021-01-01,C002,SKU003,55,72
2021-01-01,C002,SKU004,86,116
2021-01-01,C002,SKU005,110,45
2021-01-01,C002,SKU006,109,80
2021-01-01,C002,SKU007,79,105
2021-01-01,C002,SKU008,130,113
2021-01-01,C002,SKU009,74,82
2021-01-01,C002,SKU010,109,114
2021-01-01,C002,SKU011,85,85
2021-01-01,C002,SKU012,66,60
2021-01-01,C002,SKU013,124,123
2021-01-01,C002,SKU014,97,115
2021-01-01,C002,SKU015,110,73
2021-01-01,C002,SKU016,110,128
2021-01-01,C002,SKU017,98,129
2021-01-01,C002,SKU018,21,110
2021-01-01,C002,SKU019,102,82
2021-01-01,C002,SKU020,102,40
2021-01-01,C003,SKU001,93,98
2021-01-01,C003,SKU002,144,77
2021-01-01,C003,SKU003,75,77
2021-01-01,C003,SKU004,127,98
2021-01-01,C003,SKU005,84,102
2021-01-01,C003,SKU006,102,114
2021-01-01,C003,SKU007,78,81
2021-01-01,C003,SKU008,88,53
2021-01-01,C003,SKU009,108,96
2021-01-01,C003,SKU010,100,84
2021-01-01,C003,SKU011,57,79
2021-01-01,C003,SKU012,89,69
2021-01-01,C003,SKU013,95,100
2021-01-01,C003,SKU014,156,94
2021-01-01,C003,SKU015,107,88
2021-01-01,C003,SKU016,42,89
2021-01-01,C003,SKU017,101,151
2021-01-01,C003,SKU018,94,97
2021-01-01,C003,SKU019,98,60
2021-01-01,C003,SKU020,134,108
2021-01-02,C001,SKU001,123,67
2021-01-02,C001,SKU002,142,54
2021-01-02,C001,SKU003,117,144
2021-01-02,C001,SKU004,70,75
2021-01-02,C001,SKU005,102,77
2021-01-02,C001,SKU006,53,91
2021-01-02,C001,SKU007,68,101
2021-01-02,C001,SKU008,72,128
2021-01-02,C001,SKU009,76,81
2021-01-02,C001,SKU010,124,59
2021-01-02,C001,SKU011,106,122
2021-01-02,C001,SKU012,51,94
2021-01-02,C001,SKU013,107,109
2021-01-02,C001,SKU014,62,56
2021-01-02,C001,SKU015,115,97
2021-01-02,C001,SKU016,107,98
2021-01-02,C001,SKU017,79,95
2021-01-02,C001,SKU018,108,72
2021-01-02,C001,SKU019,155,101
2021-01-02,C001,SKU020,64,106
2021-01-02,C002,SKU001,70,109
2021-01-02,C002,SKU002,134,69
2021-01-02,C002,SKU003,128,100
2021-01-02,C002,SKU004,124,137
2021-01-02,C002,SKU005,92,71
2021-01-02,C002,SKU006,73,69
2021-01-02,C002,SKU007,97,98
2021-01-02,C002,SKU008,108,110
2021-01-02,C002,SKU009,100,126
2021-01-02,C002,SKU010,92,158
2021-01-02,C002,SKU011,118,68
2021-01-02,C002,SKU012,67,102
2021-01-02,C002,SKU013,93,107
2021-01-02,C002,SKU014,114,88
2021-01-02,C002,SKU015,74,52
2021-01-02,C002,SKU016,86,111
2021-01-02,C002,SKU017,106,58
2021-01-02,C002,SKU018,105,99
2021-01-02,C002,SKU019,73,93
2021-01-02,C002,SKU020,101,61
2021-01-02,C003,SKU001,110,104
2021-01-02,C003,SKU002,132,116
2021-01-02,C003,SKU003,58,66
2021-01-02,C003,SKU004,115,102
2021-01-02,C003,SKU005,115,186
2021-01-02,C003,SKU006,117,118
2021-01-02,C003,SKU007,128,106
2021-01-02,C003,SKU008,90,108
2021-01-02,C003,SKU009,76,84
2021-01-02,C003,SKU010,85,92
2021-01-02,C003,SKU011,169,43
2021-01-02,C003,SKU012,120,49
2021-01-02,C003,SKU013,85,117
2021-01-02,C003,SKU014,101,63
2021-01-02,C003,SKU015,78,106
2021-01-02,C003,SKU016,78,95
2021-01-02,C003,SKU017,101,73
2021-01-02,C003,SKU018,164,105
2021-01-02,C003,SKU019,39,94
2021-01-02,C003,SKU020,80,111
2021-01-03,C001,SKU001,76,87
2021-01-03,C001,SKU002,115,111
2021-01-03,C001,SKU003,63,81
2021-01-03,C001,SKU004,85,73
2021-01-03,C001,SKU005,152,100
2021-01-03,C001,SKU006,62,112
2021-01-03,C001,SKU007,163,115
2021-01-03,C001,SKU008,54,77
2021-01-03,C001,SKU009,138,72
2021-01-03,C001,SKU010,113,109
2021-01-03,C001,SKU011,72,88
2021-01-03,C001,SKU012,2,64
2021-01-03,C001,SKU013,92,58
2021-01-03,C001,SKU014,148,54
2021-01-03,C001,SKU015,86,93
2021-01-03,C001,SKU016,143,54
2021-01-03,C001,SKU017,134,90
2021-01-03,C001,SKU018,70,101
2021-01-03,C001,SKU019,105,74
2021-01-03,C001,SKU020,102,80
2021-01-03,C002,SKU001,103,106
2021-01-03,C002,SKU002,147,59
2021-01-03,C002,SKU003,163,41
2021-01-03,C002,SKU004,95,104
2021-01-03,C002,SKU005,108,74
2021-01-03,C002,SKU006,93,77
2021-01-03,C002,SKU007,82,111
2021-01-03,C002,SKU008,110,72
2021-01-03,C002,SKU009,126,97
2021-01-03,C002,SKU010,124,105
2021-01-03,C002,SKU011,75,75
2021-01-03,C002,SKU012,122,105
2021-01-03,C002,SKU013,99,92
2021-01-03,C002,SKU014,138,75
2021-01-03,C002,SKU015,116,84
2021-01-03,C002,SKU016,93,117
2021-01-03,C002,SKU017,124,110
2021-01-03,C002,SKU018,139,90
